timestamp_sec,step,elbow_angle_rad,inter_force,target_angle_rad,angular_velocity,human_torque,motor_torque
0.0,1,2.903857090944844,0.04274700992448399,2.27,-1.7536201864045253,0.1185153956003751,-0.136341050848216
0.02,2,2.8687846872167535,0.0019858491288686736,2.27,-1.7545888090152117,-0.35118859506371847,-0.5297016041215605
0.04,3,2.8336735385842355,0.02293285274985056,2.27,-2.1941442768551145,-0.2553446757017088,0.10550507297846723
0.06,4,2.781018916142549,0.08774629367201062,2.27,-2.6322159874544115,-0.6505344813391409,0.16715438980529468
0.08,5,2.728384899086059,0.08774516135298774,2.27,-2.6319523136879686,-0.40602011043009556,0.3778502789981249
0.1,6,2.67574082359503,0.2175662298145118,2.27,-2.193872818845821,1.015281448976425,-0.4754602862567909
0.12,7,2.6406299863322262,0.23567818598629395,2.27,-2.1941851484868935,0.44435335938119425,-0.20242181686595465
0.14,8,2.5879734176555544,0.2250174669777961,2.27,-2.6329353694914737,-0.2238591881515346,-0.10776701351928623
0.16,9,2.5353125715525673,0.22060315523207066,2.27,-2.632754162648465,0.44322901880156407,0.4393711074661801
0.18,10,2.482663251149616,0.25875409403230737,2.27,-2.1932360838877396,-0.3126269864768764,0.022623951220554262
0.2,11,2.4475831281970577,0.2978128332290619,2.27,-2.1922961202227254,-0.7386675210244287,-0.6807016340987676
0.22,12,2.394971406340707,0.3097561644464747,2.27,-2.6317218649150043,-0.018892006045600467,-0.277817143207739
0.24,13,2.3423142536004575,0.31446785940202593,2.27,-2.632697544938656,-0.050027160452823766,0.03458180157358249
0.26,14,2.2896635045431606,0.3377993606709217,2.27,-2.632926555408266,-0.0828587400896945,0.7867821450690378
0.28,15,2.236997191384127,0.3438289819301323,2.27,-2.6326889736181025,-0.172462222324392,0.028260556608984803
0.3,16,2.1843559455984365,0.3154711715218506,2.27,-2.193422480943208,0.17479276703732868,0.1334457431452016
0.32,17,2.1492602921463986,0.32492851076039514,2.27,-2.193048275937304,0.32188314247338334,0.34235762800591607
0.34,18,2.0966340145609443,0.3811852081145822,2.27,-2.6317340122695154,0.3485955260356053,-1.009511480454961
0.36,19,2.043990931655618,0.32155878733591486,2.27,-2.6325098257796054,-0.47180443432689295,0.09593059512290197
0.38,20,1.9913336215297601,0.3187587611108664,2.27,-2.6321741109748995,0.556866055662272,-0.9328994917655983
0.4,21,1.938703967216622,0.304333924989647,2.27,-3.509178738567614,-0.305191283631392,-0.4265463125223014
0.42,22,1.8509664719870556,0.3097924849647539,2.27,-3.5094955879709064,0.8636644882803023,0.9121418540943815
0.44,23,1.7983241436977857,0.3097919271568448,2.27,-2.6321629489138907,-0.3591446900446497,0.07358066713534493
0.46,24,1.7456799540305,0.37221995865565166,2.27,-2.1941167997972966,-0.2889170699665678,0.21904406567245455
0.48,25,1.7105594717058938,0.3378735851613377,2.27,-2.1943870351248838,-1.0310177729599772,-0.08031474146906217
0.5,26,1.6579044726255046,0.31347857682648766,2.27,-2.6326534699676216,0.09676990838955764,0.803891563179549
0.52,27,1.605253332907189,0.41456763244212314,2.27,-2.632607231289413,-0.36118307231945335,-0.14774431305642638
0.54,28,1.552600183373928,0.4031780778208524,2.27,-4.8260962265399945,0.14651326661231975,0.12993556085731192
0.56,29,1.4122094838455892,0.5285857516093693,2.27,-4.386959839045051,-0.11854060641568503,0.03396698556691512
0.58,30,1.377121789812126,0.5627178415922238,2.27,-3.5099239735613907,-0.9051244276206599,0.5057090450859256
0.6,31,1.2718125249031336,0.5435827463681892,2.27,-3.949281905020846,-0.496512092989575,-0.1366348190455128
0.62,32,1.2191505136112921,0.6622320345812025,2.27,-2.6331005645920724,-0.27718124494231494,0.5605600815313135
